review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que Ã© o mesmo aparelho,5/22/2018 0:00,5/23/2018 16:45
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,"Vendedor confiÃ¡vel, produto ok e entrega antes do prazo.",5/23/2018 0:00,5/24/2018 3:00
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,NÃ£o chegou meu produto ,PÃ©ssimo,8/15/2018 0:00,8/15/2018 4:10
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ã“timo,Loja nota 10,7/10/2018 0:00,7/11/2018 14:10
c92cdd7dd544a01aa35137f901669cdf,37e7875cdce5a9e5b3a692971f370151,4,Muito bom.,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",6/7/2018 0:00,6/9/2018 18:44
08c9d79ec0eba1d252e3f52f14b8e6a9,e029f708df3cc108b3264558771605c6,5,Bom,"Recomendo ,",6/13/2018 0:00,6/13/2018 22:54
b193ff3c9f32a01f3a0d9ae26b94d244,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,Maravilhoso!,"TÃ´ completamente apaixonada, loja super responsÃ¡vel e confiÃ¡vel!",8/10/2018 0:00,8/11/2018 0:22
86c5cfa7fcbde303f704b60a78ced7d6,a6456e781cb962cc3f412b04de4fed7b,5,Entrega perfeita,Muito bom. muito cheiroso.,6/13/2018 0:00,6/14/2018 17:29
500c05500aa275953129f49799ee5c73,8a9424899aac432d80d8e580932b5ee9,5,MT lindo,MT lindo,7/25/2018 0:00,7/25/2018 21:37
109b5ce2dd11bb8460eff3b86da6fefc,25362fbf6aac4b01a28dee1e076acc26,5,Ã“timo Produto! ,Recomendo o vendedor... ,8/17/2018 0:00,8/17/2018 21:47
c45811d9f90e22a81155b3a1e4a5c2e8,491f193fc52075598871cfe6f19976d4,5,RECOMENDO SEMPRE!!,O kit mochila patrulha canina Ã© lindo!! Meu netinho vai amar!! Obrigada!!,6/19/2018 0:00,6/19/2018 17:44
50a1eaa2f96d6f3e02d0cd68d92bab75,4a7cf245701068d38d441791b735e4bd,5,***** Recomendo,Super rÃ¡pido.,5/10/2018 0:00,5/11/2018 3:08
